label,message
spam,MINI SMS Paketi ile her yone 30 SMS icin ayda 12.45TL yerine sadece 3TL odeyin! Bu firsattan faydalanmak icin hemen MINI SMS yazin 2222ye gonderebilirsiniz.
ham,Hey barmen ne ictiyse aynisindan istiyorum
spam,29 TL'ye HerYone tam 1000dk konusun! Hemen AVEA bayilerimize gelip numaranizla Super Kamu Tarifesi'ne gecin. bu firsati kacirmayin!
spam,1-2 NISAN TARIHLERINDE;DERMALOGICA CILT BAKIMINA DAVETLISINIZ.RANDEVU ALINIZ TEL:2312840
ham,iyi peki
spam,AKARYAKITTA %10 BONUS!30NİSAN'A KADAR AKARYAKIT HARCAMANIZDA TOPLAM 250TL'YE ULASIN.%10 BONUS KAZANIN! AKARYAKIY YAZ.3340'A GONDER;KAMPANYAYA KATIL.BONUS.COM.TR
ham,Nice guzel yaslari superminik insan hilalcan KIVANC ve GULOOO
ham,bugün müzik sınavı var biliyorsun değil mi? haberin olsun...
spam,"PUSULA'DA ÖZEL GECELER BASLADI
GECE 00:00 - 4.000 ARASI 
ILK 5.000 YATIRIMCIYA
FREESPIN HEDIYE!
Bildirimlerini takip et!
https://t2m.io/pusulayagiris"
spam,Adalet Bakanligi. mahkeme kararlari ve diger adli islemleriniz SMSle cebinizde! TCKimlikNo bosluk ABONE yaz 4060a gonder. UYAP SMSe uye ol. Gelen her mesaj 1TL
spam,gnctrkcll'li. Eskisehir Es-Es Paintball'un pistinde 1 saatlik paintball keyfi 15 TL yerine sadece 7.5 TL! Hemen GNCTEKLIF.COM!a gir. satin al! Firsati kacirma
ham,la olum mesaj gelmıs vıdeo gelmemıs alın burdan ızleyın ama herkes delll :D
ham,tamamdır.
ham,beni bir daha arama
ham,Dostum vahit imza atti atmis bizim yerimize oryantasyonun sonunda yoklama yapip imzalari silmisler:(
spam,Money Club'in 1.yasinda bedava sinema! 6 Nisan'da Espark Cinebonusda kartini gosterene son seans 2 kisilik sinema bileti hediye.Detay www.moneyclubkart.com
spam,Annelerin en guzeline en ozel hediye SABRI OZELden %25 INDIRIM FIRSATIYLA.6-15 MAYIS tarihleri arasi YENI SEZON BAYAN urunlerinde gecerli FIRSATI KACIRMAYIN.
spam,"TÜRKIYENIN EN BÜYÜK BAHIS SITESINDE OYNA 
ILK YATIRIMA ÖZEL %300 3000TL+450 FREESPIN BONUSU 
1.000TL DENEME BONUSU 
https://cutt.ly/grandagir"
spam,Kis sezonunun beklenen son indirimiSizleri magazalarimiza bekliyoruzwww.roman.com.tr
spam,Ücretsiz iPhone kazanma şansı! Sadece şimdi: ucretsiz-iphone.net/kazan
