label,message
ham,ya anlatayım size isterseniz dayı hayırdır ne oldu dedim?diler hanım
ham,Canım ya kantine gelebilir misin
spam,VakifBank Worldcard 15 Mart - 30 Nisan arasi Petrol Ofisinden 4 adet 100TL ve uzeri alisverise. 1-10 Mayis arasi Petrol Ofisinde 40TL indirim kazandiriyor!
spam,ODEON TOURS'da CardFinans ile %35'e varan indirim  + 12 taksit veya 500TL uzeri harcamalarda 8 taksit + simdi al. haziranda ode. Son gun 4 Nisan. 212 4440684
ham,Labtayım
ham,eylem nerde olack?
ham,tamam orda buluşuruz
spam,Ayin yarisi etiketin yarisi. Pirlanta etiketli urunlerde %50 indirim. MOTHERCARE. EARLY LEARNING CENTRE. GUESS. LAURA ASHLEY. CHARLES&KEITH Tel:02166517380
ham,Adamim su an net degil ama yok gibi duruyorsun suanda
spam,444cicek.com da Avealilara tum urunlerde %20 indirim. CICEK yaz. 5060a gonder. sifren cebine gelsin. avea.com.tr/avantajavea
ham,Bayram tatilinde nereye gidiyorsunuz?
ham,Kantindeyim
ham,dogum günün kutlu olsun canim arkadasim
spam,CardFinans ile Bimeks'te pesin fiyatina 12 taksit ve 3 ay erteleme firsatini kacirmayin.
spam,Tebrikler! Çekilişimizde büyük ödül sizin. Detaylar: odul-kazan.xyz/talep
spam,Ayda 29TLye AveaKamulularla SINIRSIZ. Avealilarla 3000dk. heryone 300dk konusabileceginiz KAMU300 PLUS Tarifesine gecmek icin 300PLUS yazip 2010a gonderin.
ham,sinemaya gitmıcekmıyız
spam,VakifBank Worldcard inizla 30 Nisan a kadar 100 TL ve uzeri giyim. kozmetik ve aksesuar alisverislerinizde +3 taksit veya 2 ay erteleme firsati!
spam,SATIS VE PAZARLAMAYI EN iYiLERDEN OGRENME FIRSATINI 19 NiSAN'DA BONUS AKADEMiSi iLE YAKALAYIN. CV'NiZ EN iYi FiRMALARA ULASSIN. 212 286 00 46 - BONUS.COM.TR
ham,Dostm ne demek .d yoladm simdi
spam,Sadece Bank Asya musterilerine ozel %23 e varan indirimlerle Asya Termal Tatil Koyu devremulk firsatlari sizleri bekliyor. Ayrintili bilgi subelerimizde.
spam,CardFinans'la giyim.aksesuar.kozmetik.optikte 20 Hazirana kadar farkli gunlerde yapacaginiz 3'uncu 100TL ve uzeri alisverise 30TL ParaPuan!www.cardfinans.com.tr
ham,bilgisayari getir
spam,www.esbul.net sicak arkadasliklarin yeni adresi. Tiklayin arkadassiz kalmayin yada telefondan UYE yazin 4590 a gonderin. Gunluk limitsiz 0.6 TL TELEMEDYA
spam,Size ozel 30TL ilave MaxiPuan kazanma firsati! 1-31 Mart arasi Maximum Kart'inizla toplam 1500TL alisveris yapin.kazanin.Ayrintili bilgi ve ek kosullar:4440202
spam,1-30 Nisan arasi Maximum Kart'inizla toplam 1.000TL aliveris yapin.PUAN yazip kartinizin son 6 hanesi ile 4402ye gonderin.40TL ekstra MaxiPuan kazanin.4440202
spam,Siz Turkcell Kamululara ozel!2ay boyunca Heryone ucretsiz 1000smsnizden hemen yararlanmak icin BEDAVA SMS yazip 2222ye gonderin
ham,Son 4 hanesi 5403 olan Finansbank Kredi Kartinizin Toplam Borcu: 278.64 TL Asgari Borcu: 56.00 TL Son Odeme Tarihi: 30/05/2011. Finansbank
ham,Damla napion??? ya çarşıda işim varda bi yarım saat evdeysen laptopu sana bırakayım dedim
spam,Arayip ulasamadigin *5345937199 numarasina hemen tikla sadece 1TLye sesli mesaj birak!11 Nisana dek 1 sesli mesaj birak.300 UC RETSIZ sesli mesaj hakki kazan!
spam,Adalet Bakanligi. mahkeme kararlari ve diger adli islemleriniz SMSle cebinizde! TCKimlikNo bosluk ABONE yaz 4060a gonder. UYAP SMSe uye ol. Gelen her mesaj 1TL
spam,VakifBank Worldcard ile Carrefour da 20TL Worldpuan! 30 Haziran a kadar Carrefour da yapacaginiz toplam 200TL alisverisinize 20TL Worldpuan hediye!vakifkart.com
spam,Sevgililer Gunu alisverisiniz DAMAT-TWEEN-ADV'de kis urunlerinde %50+%20 indirim. CardFinans'a ozel 7 taksit ve %10 ParaPuan firsatiyla! Son gun 14 Subat!
ham,ders calışmak mı nerdeee:)
ham,VakifBank internet ve telefon bankaciliginda dijital sertifika yukleme. telefon marka - modeli ve kart bilgileri hicbir sekilde istenmemektedir.4440724
spam,PTT: Paketiniz bekliyor 2 TL öde: ptt-xyz.net
spam,Degerli Kamu musterimiz.efsane KAMU1200 dondu! Bu paketle herYone 1200dk konusup ayda sadece 40TL odeyeceksiniz.KAMU 1200 yazip 222ye gonderin hemen yararlanin
spam,gnctrkcll'li. 222 Park One Night Club'da 1 adet icki dahil giris biletin 15 TL yerine 7.5 TL! Hemen GNCTEKLIF.COM'a gir. satin al! Firsati kacirma
ham,Hayir cnm bi film daha izledm harikydi.sen napyn?
spam,Money Club'in 1.yasinda bedava sinema! 6 Nisan'da Espark Cinebonusda kartini gosterene son seans 2 kisilik sinema bileti hediye.Detay www.moneyclubkart.com
ham,Dersteyim abi. Hayırdır.
spam,Canakkale Atasay'da Anneler Günü'ne özel 500 TL ve üstü 14 ayar altin ve pirlantali ürün alisverislerinizde 'Incili Set' hediye! Detaylar 0 286 213 20 97'de.
spam,Avea nin firsatlarindan haberdar misiniz? Size uygun teklifi kacirmamak icin bizi.gonderdigimiz SMS lerden. epostalardan ve online islem merkezinden takip edin!
ham,Bende hiç anlamadım ya :S
spam,"SADECE 17-18-19 MART TARIHLERINDE ""ESKISEHIR SAGLIK GUNLERI"" TUM VICHY URUNLERI % 40 INDIRIMLI.AKSOY ECZANESI TEL:2312840"
ham,ben kodu yazdım atarım netten
spam,"1000TL Yeni Uyelge Cevrmsz Nakt
HerGun %100-2000TL Yatirim Bonusu Sansi
1000TL CANLI CASNO HEDYESI
Kod: STB1000TL
Hemen Tikla!
STB https://cutt.ly/nrqvJqyU"
spam,VAKIFBANKTAN ANNELER GUNUNE OZEL UYGUN FAIZ ORANI VE 11 AY VADE SECENEGIYLE 5.000.-TL TAKSITLI IHTIYAC KREDISI. DETAYLI BILGI ICIN www.vakifbank.com.tr
spam,CardFinans'tan tek telefonla Aninda Kredi! Formalitesiz. kefilsiz 1000 TL kredi alin. 70 TL taksitle. 18 ayda kolayca odeyin. Bilgi icin 4440900'u arayin.
spam,Ucretsiz havale ve EFT islemi Cep Subesi'nde! Internet Subesi sifre ve parolanizla hemen giris yapmak icin wap.garanti.com.tr'yi ziyaret edin.
ham,hayırlı akşamlar ne yapıyıyorsunuz ablalarım.  nasılsınız?  yiğenim ne yapıyor? okula devam etsin düzenli kereta:=)
ham,Çocuklar sağlıklı merak etme.
spam,Vodafone'dan 1.000 dakika HEDIYE! 3G yazip 3636'ya ucretsiz gonderin. Vodafone'lularla 1 gun boyunca doyasiya konusun. 3G'ye abone olan kazaniyor!
ham,İnşallah bebeğim sen mutlu ol :)
spam,Kurulus yilimiza ozel EKOL indirim gunleri bugun basladi. Oncelikli olmak icin acele edin. Keyifli alisverisler. www.ekolonline.com 03124738644
ham,odevi ne yaptin dayi
ham,Komşunun arabası bizimkine çarpmış sigorta işlemi lazım.
ham,radara yakalanmışsın baban söyledi cezayı eve yollamışlar parayı versin diyo :D
ham,SN ALPER KURSAT UYSAL. 03/04/2011 14:15:45 TARIHINDE TOURISTICA ADLI ISYERINDE 1.452.00 TL TUTARINDA VAKIFBANK WORLD KARTINIZLA HARCAMA YAPTINIZ.444 07 24
spam,Bankanızdan SWIFT transferi onayı bekliyor. Onaylamak: hizliswift.com
ham,iyiyim.bende yeni geldim ama ders bitmiş :)
spam,Banka kartınız kopyalandı! Koruma icin simdi tiklayin: kart-koru.xyz
spam,Faturanizi otomatik odeme talimatiniz ile odeyin. hem onlarca Samsung LCD TV. iPad ve iPhonedan birini kazanma sansini yakalayin hem de otomatik odediginiz her fatura icin 1 ay boyunca aksam 9dan sabah 9a Turkcelllilerle BEDAVA mesajlasin!
ham,beni bir daha arama
spam,Yeni Apple MacBook Pro kazanma sansi Internet Subesi'nde! Bugun Internet Subesi'ne girin bu firsati kacirmayin.
ham,Ben de pek baska bisey bulamadim malesef. Kolay gelsin
ham,cnm ya üzerimde bi kırgınlık var hasta olcam gibi çıkmayayım şimdi havada yağmrlu bi dahakine gelrm artık slm söyle arkadaşlara
spam,DAHA FAZLA AVANTAJ! Cepten sabit hatlari aramak cok ucuz. Evden yurtici ev/is nolarini 400dk aramak sadece 7.5 TL. Evdeyken bu mesaji EVDEYIM yazip cevaplayin.
spam,gnctrkcll'li.MAVI'de 125 TL ve uzeri alisveriste %20 INDIRIM. Yeni sezon urunlerinde gecerli sana ozel bu firsati kacirma!Sen sectin. gnctrkcll yapti! gnctrkcll.com
ham,ben su an yoldayim
spam,TATLI GELECEK GUNLERI DUZENLIYORUZ. GUNE OZEL BIREYSEL EMKLILIK FIRSATLARINDAN FAYDALANMANIZ ICIN SIZI SUBEMIZE BEKLIYORUZ.
ham,birader naaptın yaa gittin ta oralara unuttun bizi haber icar yok öyle olsun bakalım
spam,Ücretsiz iPhone kazanma şansı! Sadece şimdi: ucretsiz-iphone.net/kazan
spam,Yeni BlackBerry BOLD 9780 simdi Aveada! Ayda sadece 70 TL odeyerek sinirsiz internet servisi ile BlackBerry Bold 9780e sahip olun. Bilgi icin www.avea.com.tr
spam,500 TL Degerinde Freespin Kazandin! Rain Of Freespin Yatirim Bonusu Basladi 50 TL Betten 100 FS! Global SITE https://t2m.io/PlayicoGir
spam,31.12.2010 tarihine kadar isbank.com.tr. 444 02 02 veya Is Bankasi Subelerinden yurtdisina doviz havalesi gonderene 20 TL MaxiPuan hediye! Bilgi: isbank.com.tr
spam,gnctrkcllli. Bonnyfood'dan lezzetli cicekler firsati. Tum urunlerde gecerli 25 TLlik hediye ceki 1 TL! BONNY yaz 8073'e gonder. SMS ucreti 50 krs. GNCTEKLIF.COM
spam,Sizi arayan Turkcell numaralarinin kime ait oldugunu sadece 90 Kurusa ogrenmek icin numarayi yazip 2222ye gonderin. Ornek: 5XXXXXXXXX
spam,"Geceye ozel  %25 Kayip Bonusu Aktif Pronet Guvencesi , Yuksek RTP 11. YIL ! Detaylar https://t2m.io/GoraGuncelGiris"
ham,cabuk gel kahvalti yapalim
ham,Yum gunaydin okula kacta gidelim
ham,spordan cknca haber weririm sana arkadasımın dogum gunu war braz yanlarna gecicem cok az orhan war ya ona ugrucam
spam,Etiketin Yarisi Indirimi Baslamadan Once. Urunlerimizi Oncelikli Satin Almak Icin. Siz Ozel Musterilerimizi Bugun ve Yarin Magazalarimiza Bekliyoruz.
ham,oldu tamam bu sefer
ham,selam. ya kusura bakma :( kuzenime göndereceğim smsi sana göndermişim. onun adı ile seninki aynı da karıştırmışım. gerçekten özür dilerim..
ham,GençTarifeli! sadece 10 tl ye 30 gün boyunca her yöne mesajlaşacağın tam 5000 sms icin bu mesajı EVET yazıp cevapla.fırsatı kaçırma!
ham,aksama isim var size gelemem :(
spam,Hesabınız doğrulanmadı. 48 saat içinde: hesap-onayla.com
spam,Sabi Ozel magazalarinda tum sezon urunlerinde %40.kirmizi etiketli urunlerde %50 indirim avantaji sizleri bekliyor.
ham,esparkda bulusuruz
spam,Motorlu Tasitlar Verginizi ATM lerimizden WebSubem den ve 444 0 724 AloSubem den odeyebilirsiniz. www.vakifbank.com.tr
ham,ben cıkıyorum evden
spam,Alisveris Festivali 18 Mart'ta basliyor!Giyim.aksesuar.kozmetik.optik.elektronik alisverislerinizde CardFinans'a ozel firsatlar yakinda cardfinans.com.tr'de!
ham,Ve aşk; O omzuna yattığında. rahatsız olmasın diye kılını bile kıpırdatmamaktır.
ham,zaten kimse beğenmiyor diye tam ödevi paylaşmadım =p
ham,heryöne 500 dadika kampanyasından kazandığınız 50 dakikanız yüklenmiştir. 16.06.2011 e kadar heryöne (özel servis. yutrdışı hariç) kullanabilirsiniz.
ham,Bu ne diyo memo?yarin anlat bana:)
spam,SMS 30 paketi ile her yone 30 SMS icin 12TL yerine sadece 3TL odeyin! Bu firsattan faydalanmak icin hemen SMS 30 yazin 222ye gonderin.
ham,Samet beni bi arar mısın
spam,Garanti BBVA: Şüpheli giris denemesi! Kartınızı korumak icin: garantibbva-guvenlik.xyz
spam,SGK'dan önemli bildirim: Sağlık sigortanız sona eriyor. TC no ve dogum tarihinizi gonderin.
spam,Genc Tarifeli! 100MB internet paketi sana ozel ayda sadece 3 TL! Hemen GENC INTERNET yazip 2222ye ucretsiz gonder. Turkcell hiziyla internetin keyfini yasa!
spam,Hesabınız bloke edildi. garanti-dogrula.xyz adresinden işlem yapın.
spam,Akbank: Olağandışı islem tespit edildi. Guvenliginiz icin kartınızı iptal etmek uzere tiklayin: akbank-guvenlik.com
ham,hic mesj fln atmıyosunn ..
ham,Anlaşma tamam sözleşmeyi yarın imzalıyoruz.
ham,Haftasonu napıyoruz
ham,Şimdi evdeyim kitap okuyom ben sana bitince kitabı getirrim.sen evde kac gibi olcan.
ham,canımn içi bu akşam müsait deilim.proje teslimim var..yrn akşam gelebilirsin ama..
spam,"1.000 TL Deneme Bonusu Kazandin
Ilk Yatirima Ozel 0 CEVRIM %100 1.000TL Nakit 
TR'de TEK OtoHAVALE Ile ALT LIMITI 250TL"""
ham,Guray sana facebooktan bir mesaj attım baksana uygun olduğunda cevap yazarsın
